1: scale_down='30', scale_up='90'
192: scale_down='5', scale_up='62'
193: scale_down='63', scale_up='70'
194: scale_down='9', scale_up='59'
195: scale_down='6', scale_up='63'
196: scale_down='9', scale_up='69'
197: scale_down='6', scale_up='75'
198: scale_down='33', scale_up='39'
199: scale_down='13', scale_up='70'
200: scale_down='6', scale_up='45'
201: scale_down='49', scale_up='60'
202: scale_down='6', scale_up='65'
203: scale_down='46', scale_up='93'
204: scale_down='20', scale_up='79'
205: scale_down='92', scale_up='96'
206: scale_down='34', scale_up='67'
207: scale_down='76', scale_up='85'
208: scale_down='56', scale_up='68'
209: scale_down='40', scale_up='48'
210: scale_down='46', scale_up='84'
211: scale_down='10', scale_up='47'
212: scale_down='13', scale_up='86'
213: scale_down='0', scale_up='46'
214: scale_down='18', scale_up='81'
215: scale_down='82', scale_up='88'
216: scale_down='18', scale_up='82'
217: scale_down='4', scale_up='46'
218: scale_down='81', scale_up='88'
219: scale_down='13', scale_up='28'
220: scale_down='72', scale_up='77'
221: scale_down='47', scale_up='96'
222: scale_down='19', scale_up='75'
223: scale_down='71', scale_up='94'
224: scale_down='1', scale_up='58'
225: scale_down='12', scale_up='87'
226: scale_down='29', scale_up='73'
227: scale_down='38', scale_up='58'
228: scale_down='88', scale_up='95'
229: scale_down='11', scale_up='90'
230: scale_down='32', scale_up='56'
231: scale_down='3', scale_up='90'
232: scale_down='61', scale_up='89'
233: scale_down='41', scale_up='46'
234: scale_down='17', scale_up='34'
235: scale_down='63', scale_up='73'
236: scale_down='69', scale_up='82'
237: scale_down='43', scale_up='73'
238: scale_down='20', scale_up='81'
239: scale_down='27', scale_up='52'
240: scale_down='31', scale_up='87'
241: scale_down='27', scale_up='100'
242: scale_down='4', scale_up='49'
243: scale_down='34', scale_up='48'
244: scale_down='4', scale_up='60'
245: scale_down='3', scale_up='37'
246: scale_down='20', scale_up='58'
247: scale_down='91', scale_up='98'
248: scale_down='72', scale_up='81'
249: scale_down='71', scale_up='78'
250: scale_down='71', scale_up='77'
251: scale_down='69', scale_up='81'
252: scale_down='22', scale_up='58'
253: scale_down='37', scale_up='42'
254: scale_down='9', scale_up='37'
255: scale_down='26', scale_up='32'
256: scale_down='66', scale_up='86'
257: scale_down='7', scale_up='75'
258: scale_down='10', scale_up='79'
259: scale_down='38', scale_up='62'
260: scale_down='10', scale_up='20'
261: scale_down='38', scale_up='93'
262: scale_down='86', scale_up='88'
263: scale_down='1', scale_up='83'
264: scale_down='4', scale_up='36'
265: scale_down='18', scale_up='47'
266: scale_down='40', scale_up='49'
267: scale_down='19', scale_up='81'
268: scale_down='18', scale_up='46'
269: scale_down='77', scale_up='85'
270: scale_down='34', scale_up='76'
271: scale_down='43', scale_up='72'
272: scale_down='56', scale_up='92'
273: scale_down='63', scale_up='90'
274: scale_down='12', scale_up='97'
275: scale_down='31', scale_up='65'
276: scale_down='62', scale_up='86'
277: scale_down='0', scale_up='27'
278: scale_down='53', scale_up='70'
279: scale_down='15', scale_up='63'
280: scale_down='20', scale_up='78'
281: scale_down='18', scale_up='99'
282: scale_down='55', scale_up='62'
283: scale_down='71', scale_up='76'
284: scale_down='9', scale_up='11'
285: scale_down='54', scale_up='63'
286: scale_down='11', scale_up='45'
287: scale_down='22', scale_up='37'
288: scale_down='54', scale_up='90'
289: scale_down='24', scale_up='61'
290: scale_down='56', scale_up='91'
291: scale_down='2', scale_up='28'
292: scale_down='17', scale_up='79'
293: scale_down='3', scale_up='48'
294: scale_down='24', scale_up='42'
295: scale_down='70', scale_up='73'
296: scale_down='33', scale_up='66'
297: scale_down='36', scale_up='50'
298: scale_down='20', scale_up='73'
299: scale_down='20', scale_up='76'
300: scale_down='60', scale_up='96'
301: scale_down='83', scale_up='91'
302: scale_down='73', scale_up='86'
303: scale_down='1', scale_up='76'
304: scale_down='14', scale_up='27'
305: scale_down='32', scale_up='87'
306: scale_down='34', scale_up='88'
307: scale_down='77', scale_up='82'
308: scale_down='52', scale_up='55'
309: scale_down='52', scale_up='93'
310: scale_down='64', scale_up='65'
311: scale_down='16', scale_up='77'
312: scale_down='29', scale_up='62'
313: scale_down='26', scale_up='99'
314: scale_down='75', scale_up='90'
315: scale_down='32', scale_up='73'
316: scale_down='28', scale_up='79'
317: scale_down='67', scale_up='80'
318: scale_down='85', scale_up='93'
319: scale_down='65', scale_up='95'
320: scale_down='53', scale_up='96'
321: scale_down='9', scale_up='21'
322: scale_down='43', scale_up='49'
323: scale_down='61', scale_up='68'
324: scale_down='43', scale_up='74'
325: scale_down='47', scale_up='95'
326: scale_down='35', scale_up='44'
327: scale_down='65', scale_up='89'
328: scale_down='15', scale_up='26'
329: scale_down='11', scale_up='64'
330: scale_down='66', scale_up='78'
331: scale_down='64', scale_up='78'
332: scale_down='10', scale_up='94'
333: scale_down='44', scale_up='69'
334: scale_down='20', scale_up='48'
