Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-60.0,0,10.0,-1,0.0,0.0,1,-60.0,0,0.0,SAT,,0.08,
2,2,1,-51.0,0,10.0,-1,0.0,0.0,1,-51.0,1,0.0,SAT,,0.03,
3,3,1,-27.0,0,10.0,-1,0.0,0.0,1,-27.0,1,0.0,SAT,,0.027,
4,4,1,-16.0,0,10.0,-1,0.0,0.0,1,-16.0,1,0.0,SAT,,0.026,
5,5,1,-31.0,0,10.0,-1,0.0,0.0,1,-31.0,1,0.0,SAT,,0.027,
6,6,1,-18.0,0,10.0,-1,0.0,0.0,1,-18.0,1,0.0,SAT,,0.026,
7,7,1,-22.0,0,10.0,-1,0.0,0.0,1,-22.0,1,0.0,SAT,,0.027,
8,8,1,-38.0,0,10.0,-1,0.0,0.0,1,-38.0,1,0.0,SAT,,0.026,
9,9,1,-77.0,0,10.0,-1,0.0,0.0,1,-77.0,1,0.0,SAT,,0.027,
10,10,1,-13.0,0,10.0,-1,0.0,0.0,1,-13.0,1,0.0,SAT,,0.027,
11,11,1,-33.0,0,10.0,-1,0.0,0.0,1,-33.0,1,0.0,SAT,,0.03,
12,12,1,-44.0,0,10.0,-1,0.0,0.0,1,-44.0,1,0.0,SAT,,0.026,
13,13,1,-30.0,0,10.0,-1,0.0,0.0,1,-30.0,2,0.0,SAT,,0.026,
14,14,1,-65.0,0,10.0,-1,0.0,0.0,1,-65.0,2,0.0,SAT,,0.027,
15,15,1,-20.0,0,10.0,-1,0.0,0.0,1,-20.0,2,0.0,SAT,,0.027,
16,16,1,-20.0,0,10.0,-1,0.0,0.0,1,-20.0,2,0.0,SAT,,0.026,
17,17,1,-57.0,0,10.0,-1,0.0,0.0,1,-57.0,2,0.0,SAT,,0.026,
18,18,1,-44.0,0,10.0,-1,0.0,0.0,1,-44.0,2,0.0,SAT,,0.026,
19,19,1,-22.0,0,10.0,-1,0.0,0.0,1,-22.0,2,0.0,SAT,,0.026,
20,20,1,-71.0,0,10.0,-1,0.0,0.0,1,-71.0,2,0.0,SAT,,0.027,
21,21,1,-31.0,0,10.0,-1,0.0,0.0,1,-31.0,2,0.0,SAT,,0.026,
22,22,1,-70.0,0,10.0,-1,0.0,0.0,1,-70.0,2,0.0,SAT,,0.026,
23,23,1,-52.0,0,10.0,-1,0.0,0.0,1,-52.0,3,0.0,SAT,,0.026,
24,24,1,-76.0,0,10.0,-1,0.0,0.0,1,-76.0,3,0.0,SAT,,0.026,
25,25,1,-44.0,0,10.0,-1,0.0,0.0,1,-44.0,3,0.0,SAT,,0.026,
26,26,1,-31.0,0,10.0,-1,0.0,0.0,1,-31.0,3,0.0,SAT,,0.026,
27,27,1,-51.0,0,10.0,-1,0.0,0.0,1,-51.0,3,0.0,SAT,,0.028,
28,28,1,-11.0,0,10.0,-1,0.0,0.0,1,-11.0,3,0.0,SAT,,0.028,
29,29,1,-71.0,0,10.0,-1,0.0,0.0,1,-71.0,3,0.0,SAT,,0.026,
30,30,1,-21.0,0,10.0,-1,0.0,0.0,1,-21.0,3,0.0,SAT,,0.027,
31,31,1,-63.0,0,10.0,-1,0.0,0.0,1,-63.0,3,0.0,SAT,,0.026,
32,32,1,-3.0,0,10.0,-1,0.0,0.0,1,-3.0,3,0.0,SAT,,0.026,
33,33,1,-56.0,0,10.0,-1,0.0,0.0,1,-56.0,4,0.0,SAT,,0.031,
34,34,1,-11.0,0,10.0,-1,0.0,0.0,1,-11.0,4,0.0,SAT,,0.026,
35,35,1,-57.0,0,10.0,-1,0.0,0.0,1,-57.0,4,0.0,SAT,,0.026,
36,36,1,-15.0,0,10.0,-1,0.0,0.0,1,-15.0,4,0.0,SAT,,0.026,
37,37,1,-62.0,0,10.0,-1,0.0,0.0,1,-62.0,4,0.0,SAT,,0.027,
38,38,1,-19.0,0,10.0,-1,0.0,0.0,1,-19.0,4,0.0,SAT,,0.026,
39,39,1,-46.0,0,10.0,-1,0.0,0.0,1,-46.0,4,0.0,SAT,,0.026,
40,40,1,-69.0,0,10.0,-1,0.0,0.0,1,-69.0,4,0.0,SAT,,0.026,
41,41,1,-53.0,0,10.0,-1,0.0,0.0,1,-53.0,4,0.0,SAT,,0.026,
42,42,1,-19.0,0,10.0,-1,0.0,0.0,1,-19.0,4,0.0,SAT,,0.026,
43,43,1,-49.0,0,10.0,-1,0.0,0.0,1,-49.0,4,0.0,SAT,,0.026,
44,44,1,-79.0,0,10.0,-1,0.0,0.0,1,-79.0,5,0.0,SAT,,0.026,
45,45,1,-20.0,0,10.0,-1,0.0,0.0,1,-20.0,5,0.0,SAT,,0.029,
