Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,2,-60.0,0,10.0,-1,0.0,0.0,1,-60.0,0,0.0,SAT,,2.083,
2,1,4,-60.0,0,10.0,-1,0.0,0.0,1,-60.0,1,0.0,SAT,,2.026,
3,2,2,-51.0,0,10.0,-1,0.0,0.0,1,-51.0,1,0.0,SAT,,2.025,
4,1,1,-60.0,0,10.0,-1,0.0,0.0,1,-60.0,1,0.0,SAT,,2.016,
5,3,2,-27.0,0,10.0,-1,0.0,0.0,1,-27.0,1,0.0,SAT,,2.038,
6,1,3,-60.0,0,10.0,-1,0.0,0.0,1,-60.0,1,0.0,SAT,,2.037,
7,4,1,-16.0,0,10.0,-1,0.0,0.0,1,-16.0,1,0.0,SAT,,2.037,
8,5,1,-31.0,0,10.0,-1,0.0,0.0,1,-31.0,1,0.0,SAT,,2.015,
9,6,3,-18.0,0,10.0,-1,0.0,0.0,1,-18.0,1,0.0,SAT,,2.043,
10,7,4,-22.0,0,10.0,-1,0.0,0.0,1,-22.0,1,0.0,SAT,,2.019,
